year,month,day of month,day of week,time,percent full
2022,09,10,Sat,16:01,96
2022,09,10,Sat,16:06,103
2022,09,10,Sat,16:11,104
2022,09,10,Sat,16:16,103
2022,09,10,Sat,16:32,104
2022,09,10,Sat,16:37,104
2022,09,10,Sat,16:42,104
2022,09,10,Sat,16:47,106
2022,09,10,Sat,16:52,105
2022,09,10,Sat,16:57,104
2022,09,10,Sat,17:02,101
2022,09,10,Sat,17:07,102
2022,09,10,Sat,17:12,103
2022,09,10,Sat,17:18,104
2022,09,10,Sat,17:23,103
2022,09,10,Sat,17:28,102
2022,09,10,Sat,17:33,105
2022,09,10,Sat,17:33,104
2022,09,10,Sat,17:57,63
