year,month,day of month,day of week,time,percent full
2022,09,08,Thu,18:30,90
2022,09,08,Thu,18:35,90
2022,09,08,Thu,18:40,88
2022,09,08,Thu,18:45,85
2022,09,08,Thu,18:50,82
2022,09,08,Thu,18:55,84
2022,09,08,Thu,19:00,78
2022,09,08,Thu,19:05,83
2022,09,08,Thu,19:10,90
2022,09,08,Thu,19:15,102
2022,09,08,Thu,19:20,104
2022,09,08,Thu,19:25,102
2022,09,08,Thu,19:30,99
2022,09,08,Thu,19:35,95
2022,09,08,Thu,19:40,94
2022,09,09,Fri,09:55,103
2022,09,09,Fri,10:00,104
2022,09,09,Fri,10:05,104
2022,09,09,Fri,10:10,102
2022,09,09,Fri,10:15,103
2022,09,09,Fri,10:20,103
2022,09,09,Fri,10:25,104
2022,09,09,Fri,10:30,114
2022,09,10,Sat,16:01,96
2022,09,10,Sat,16:06,103
2022,09,10,Sat,16:11,104
2022,09,10,Sat,16:16,103
2022,09,10,Sat,16:32,104
2022,09,10,Sat,16:37,104
2022,09,10,Sat,16:42,104
2022,09,10,Sat,16:47,106
2022,09,10,Sat,16:52,105
2022,09,10,Sat,16:57,104
2022,09,10,Sat,17:02,101
2022,09,10,Sat,17:07,102
2022,09,10,Sat,17:12,103
2022,09,10,Sat,17:18,104
2022,09,10,Sat,17:23,103
2022,09,10,Sat,17:28,102
2022,09,10,Sat,17:33,105
2022,09,10,Sat,17:33,104
2022,09,10,Sat,17:57,63
2022-09-11 17:34,86
2022-09-11 17:35,88
2022-09-11 17:35,88
