year,month,day of month,day of week,time,percent full
2022,09,08,Thu,18:30,90% Full
2022,09,08,Thu,18:35,90% Full
2022,09,08,Thu,18:40,88% Full
2022,09,08,Thu,18:45,85% Full
2022,09,08,Thu,18:50,82% Full
2022,09,08,Thu,18:55,84% Full
2022,09,08,Thu,19:00,78% Full
2022,09,08,Thu,19:05,83% Full
2022,09,08,Thu,19:10,90% Full
2022,09,08,Thu,19:15,102% Full
2022,09,08,Thu,19:20,104% Full
2022,09,08,Thu,19:25,102% Full
2022,09,08,Thu,19:30,99% Full
2022,09,08,Thu,19:35,95% Full
2022,09,08,Thu,19:40,94% Full
2022,09,09,Fri,09:55,103% Full
2022,09,09,Fri,10:00,104% Full
2022,09,09,Fri,10:05,104% Full
2022,09,09,Fri,10:10,102% Full
2022,09,09,Fri,10:15,103% Full
2022,09,09,Fri,10:20,103% Full
2022,09,09,Fri,10:25,104% Full
2022,09,09,Fri,10:30,114% Full
